name,artist,danceability,key,mode,instrumentalness,duration,energy,loudness,speechiness,acousticness,tempo,liveness,valence,popularity,hollywood
strange and beautiful ill put a spell on you,aqualung,0.648,5,1,0.116,1.495457684,0.185,-13.214,0.0314,0.712,0.499747719,0.0881,0.328,0,1
kayleigh  single edit,marillion,0.612,2,1,0.000539,1.39298417,0.541,-8.835,0.0305,0.364,0.485060888,0.0872,0.64,0,1
turn the page,thestreets,0.386,7,1,0,1.282270364,0.683,-7.317,0.233,0.0329,0.277795203,0.344,0.527,0.251256281,1
down in mexico,thecoasters,0.614,1,1,0,1.285869457,0.589,-8.667,0.0573,0.7,0.508557091,0.069,0.894,0.291457286,1
she bangs  english version,rickymartin,0.629,1,1,1.22E-05,1.722976072,0.955,-3.604,0.0876,0.000718,0.653879896,0.348,0.858,0,1
wont be long,thehives,0.61,1,0,0.000117,1.454736832,0.928,-3.072,0.0324,0.00484,0.681844422,0.187,0.723,0,1
fk the system,systemofadown,0.474,8,1,0.126,0.837456518,0.994,-1.884,0.103,0.00216,0.779265704,0.314,0.847,0,1
stillaround,3oh3,0.544,7,0,1.26E-05,1.234592906,0.697,-5.025,0.0323,0.0361,0.673053233,0.17,0.173,0.165829146,1
anything goes,gunsnroses,0.365,1,1,0.331,1.345644166,0.97,-7.292,0.0599,0.0286,0.691744737,0.292,0.314,0,1
limelight,rush,0.587,1,0,0.00244,1.622280036,0.846,-8.082,0.0406,0.00192,0.595541676,0.31,0.827,0,1
la carretera,julioiglesias,0.48,2,1,0.0185,1.717711265,0.384,-13.706,0.0307,0.635,0.55866323,0.125,0.0631,0.175879397,1
eurofighter,etype,0.559,1,1,0.000672,1.461079747,0.956,-3.504,0.0318,0.00118,0.640929484,0.0771,0.501,0.216080402,1
secret smile,semisonic,0.548,10,0,6.87E-05,1.696455798,0.519,-9.677,0.0275,0.302,0.449987045,0.0964,0.547,0,1
blinded by fear,atthegates,0.247,7,1,0.944,1.260473381,0.995,-8.27,0.177,6.81E-06,0.565354352,0.172,0.0471,0.221105528,1
baggy trousers,madness,0.632,0,0,0,1.109509507,0.861,-5.126,0.0349,0.121,0.65728455,0.364,0.938,0,1
d is for dangerous,arcticmonkeys,0.553,1,1,0.000316,0.88205287,0.926,-4.666,0.0361,9.85E-06,0.65941189,0.0658,0.771,0,1
